alpha,28753,43129,57505,71882,86258,100634,115011,129387,143763,158140,172516,186892,201269,215645
-10,-0.041,-0.0599,-0.0711,-0.0788,-0.086,-0.0896,-0.0928,-0.0973,-0.1002,-0.1028,-0.1062,-0.1085,-0.1106,-0.1125
-9.8,-0.042420483,-0.061243955,-0.071767825,-0.079588146,-0.085328253,-0.090067023,-0.094488503,-0.099208111,-0.10217112,-0.10483529,-0.10828182,-0.10882631,-0.1126623,-0.1148371
-9.6,-0.044134622,-0.063239425,-0.073328839,-0.080511192,-0.086579717,-0.091596677,-0.096211612,-0.10086707,-0.1034725,-0.10572643,-0.10898014,-0.10976434,-0.11211452,-0.11416473
-9.4,-0.045957585,-0.06463479,-0.074954927,-0.081638885,-0.087944538,-0.092644996,-0.096820779,-0.10078969,-0.1036317,-0.10617471,-0.11067777,-0.11073292,-0.1130984,-0.11535177
-9.2,-0.047383093,-0.065747431,-0.075775095,-0.083091673,-0.088857525,-0.093524217,-0.097776853,-0.10143231,-0.10441367,-0.10704248,-0.11127907,-0.11210458,-0.11432181,-0.11667822
-9,-0.049258231,-0.067420396,-0.077184874,-0.084155004,-0.089719251,-0.094336746,-0.09884492,-0.1019715,-0.10533125,-0.1082068,-0.1118395,-0.11308978,-0.11516772,-0.11739468
-8.8,-0.051059435,-0.06849542,-0.078661421,-0.085063407,-0.091014209,-0.095863942,-0.099939878,-0.10256746,-0.10558182,-0.10824354,-0.11155477,-0.11319899,-0.11587475,-0.11830962
-8.6,-0.05263958,-0.069456591,-0.078971581,-0.086579221,-0.091764553,-0.096096562,-0.099871811,-0.10295668,-0.10606066,-0.10906089,-0.11185951,-0.11423678,-0.11712255,-0.1196961
-8.4,-0.054697173,-0.071005356,-0.080260504,-0.087084492,-0.092269213,-0.096764859,-0.10059641,-0.103778,-0.10697754,-0.10991833,-0.11288602,-0.11484248,-0.11868502,-0.12111284
-8.2,-0.05561668,-0.07125441,-0.080903438,-0.087960351,-0.093315814,-0.097713598,-0.10112322,-0.10384996,-0.10683231,-0.10969427,-0.11285921,-0.11542288,-0.11862989,-0.12145336
-8,-0.057070784,-0.072338166,-0.081284186,-0.088957143,-0.093065852,-0.09705806,-0.10071742,-0.10409213,-0.1074903,-0.11052139,-0.11391352,-0.11668616,-0.11993862,-0.12295347
-7.8,-0.057608724,-0.073095638,-0.082283881,-0.0885945,-0.093119251,-0.097438426,-0.10142277,-0.10485546,-0.10833514,-0.11080298,-0.11479572,-0.11776068,-0.12095206,-0.12405545
-7.6,-0.057973489,-0.073298683,-0.082082659,-0.089303132,-0.093660046,-0.097583881,-0.10115057,-0.10450985,-0.10794652,-0.11099137,-0.11461681,-0.11788944,-0.12121322,-0.12470613
-7.4,-0.059011349,-0.074411035,-0.082584568,-0.089164018,-0.093244385,-0.097367074,-0.10116028,-0.10505898,-0.10866883,-0.11189473,-0.11562429,-0.11915183,-0.12274582,-0.12645282
-7.2,-0.059160735,-0.073761389,-0.082726356,-0.089085791,-0.093810848,-0.097874943,-0.10123934,-0.1052741,-0.10861192,-0.1119479,-0.11567349,-0.11928852,-0.12320628,-0.12709852
-7,-0.060011786,-0.073806648,-0.082869137,-0.089371505,-0.093895875,-0.097840871,-0.10087448,-0.1048395,-0.10861352,-0.11243743,-0.11618503,-0.12007089,-0.12421054,-0.12837861
-6.8,-0.060166841,-0.073735985,-0.083208633,-0.088463942,-0.09364683,-0.097485332,-0.10074675,-0.10502934,-0.10907074,-0.11287617,-0.1167974,-0.12077709,-0.1250924,-0.12939062
-6.6,-0.060612876,-0.073306325,-0.082831474,-0.088055768,-0.093466387,-0.097056303,-0.10016134,-0.10417907,-0.10850183,-0.11253125,-0.11674759,-0.12107017,-0.12565403,-0.13030807
-6.4,-0.060623005,-0.073463151,-0.082022689,-0.087066463,-0.092085485,-0.096061421,-0.099722842,-0.10344935,-0.1085984,-0.11284912,-0.11720405,-0.12178332,-0.12640608,-0.13096659
-6.2,-0.060920073,-0.072949394,-0.080979374,-0.086309473,-0.091364477,-0.095328877,-0.09886165,-0.1031139,-0.10785218,-0.11224034,-0.11695149,-0.12195393,-0.12719924,-0.13232398
-6,-0.060790718,-0.072684943,-0.080351337,-0.085498549,-0.090074943,-0.094495646,-0.098176853,-0.10287594,-0.10787082,-0.11241749,-0.11734973,-0.12265533,-0.12804718,-0.13349472
-5.8,-0.061464023,-0.072898918,-0.079571811,-0.085019328,-0.089275325,-0.093946218,-0.097945913,-0.1027204,-0.1078822,-0.11269641,-0.11807273,-0.12407303,-0.13002885,-0.13556645
-5.6,-0.061382221,-0.072856059,-0.079758976,-0.084652406,-0.089182888,-0.094049427,-0.098202215,-0.10338167,-0.108667,-0.1136191,-0.11933667,-0.12545439,-0.13157207,-0.13774552
-5.4,-0.062585396,-0.072703368,-0.079526967,-0.084690145,-0.089485638,-0.09408495,-0.098493659,-0.10375928,-0.1095194,-0.11489969,-0.121234,-0.12796425,-0.13385286,-0.13989934
-5.2,-0.063125055,-0.073240129,-0.079900076,-0.084726814,-0.089583117,-0.094748739,-0.099465393,-0.10504591,-0.11099221,-0.11663728,-0.1231971,-0.1298699,-0.13636873,-0.14237364
-5,-0.064505444,-0.073854209,-0.079962567,-0.085145989,-0.090442628,-0.095516348,-0.1002288,-0.10617334,-0.1127411,-0.11877899,-0.12591811,-0.13240692,-0.1386262,-0.14470842
-4.8,-0.066877466,-0.074164451,-0.080233002,-0.085629183,-0.090851337,-0.096651413,-0.10158717,-0.10808419,-0.11498373,-0.1213016,-0.12831268,-0.13518356,-0.14127719,-0.14682179
-4.6,-0.066893248,-0.074827584,-0.080947364,-0.086608633,-0.092492284,-0.097955386,-0.10329756,-0.10975607,-0.1175013,-0.12464171,-0.13147112,-0.13803053,-0.14409844,-0.14891308
-4.4,-0.067042938,-0.07568168,-0.081791138,-0.087711306,-0.094081895,-0.099610008,-0.10562972,-0.1122272,-0.12030917,-0.12766639,-0.1349437,-0.14138803,-0.14691758,-0.15126898
-4.2,-0.068385833,-0.07679945,-0.083086784,-0.089321161,-0.096794882,-0.10133384,-0.10816112,-0.11498571,-0.12328908,-0.13164652,-0.138445,-0.14507183,-0.15011165,-0.15409614
-4,-0.068555282,-0.078442319,-0.084950267,-0.091085638,-0.099562414,-0.10362674,-0.11163782,-0.11878113,-0.12648678,-0.13500825,-0.14200688,-0.14942517,-0.15370271,-0.15735264
-3.8,-0.070878644,-0.079910678,-0.086810924,-0.093220321,-0.10232689,-0.10654568,-0.11453484,-0.12354263,-0.13080665,-0.13876616,-0.14516351,-0.15119803,-0.1577702,-0.16227244
-3.6,-0.072566929,-0.082442327,-0.089269366,-0.095981665,-0.1056534,-0.10994156,-0.1184398,-0.12889977,-0.13611688,-0.14377792,-0.14964464,-0.15486747,-0.16211848,-0.16686421
-3.4,-0.07571176,-0.084075338,-0.092006112,-0.098588846,-0.1094217,-0.11414484,-0.12237036,-0.13427639,-0.14243659,-0.14949541,-0.15684986,-0.16113373,-0.16775774,-0.17090039
-3.2,-0.079729678,-0.087330655,-0.094789763,-0.10283193,-0.11320833,-0.11918159,-0.12812468,-0.13959392,-0.14855625,-0.15649554,-0.16996773,-0.17094559,-0.17917959,-0.17516348
-3,-0.08291367,-0.08982693,-0.098652406,-0.10692941,-0.11753224,-0.1250288,-0.13474141,-0.14589462,-0.15636362,-0.16459539,-0.19074245,-0.19934561,-0.21574158,-0.23362947
-2.8,-0.084558667,-0.093458135,-0.10243972,-0.11238953,-0.12201604,-0.13092834,-0.14169373,-0.15400642,-0.16407786,-0.17242698,-0.22097934,-0.23142837,-0.23105237,-0.23509585
-2.6,-0.086716785,-0.097303376,-0.10804232,-0.11874377,-0.12808678,-0.13868365,-0.15167145,-0.16791322,-0.17336129,-0.17964957,-0.22790423,-0.23235966,-0.23439754,-0.23535799
-2.4,-0.088808925,-0.10178384,-0.11406096,-0.12380443,-0.13575279,-0.1466589,-0.16085315,-0.18573959,-0.19399853,-0.22893163,-0.2314368,-0.23329871,-0.23566515,-0.23544196
-2.2,-0.092418643,-0.10788484,-0.12014194,-0.13165355,-0.14468976,-0.15872597,-0.17150272,-0.21478309,-0.22648886,-0.23028148,-0.23281369,-0.23386659,-0.23563183,-0.23543171
-2,-0.09700492,-0.11414057,-0.1274369,-0.1392372,-0.15603102,-0.17426341,-0.19225582,-0.22145812,-0.22778981,-0.23086553,-0.23302149,-0.23388959,-0.2346457,-0.23514251
-1.8,-0.10138582,-0.12047156,-0.13444706,-0.14871413,-0.16620122,-0.18989931,-0.21886266,-0.22526733,-0.22902387,-0.23131738,-0.23291956,-0.23378293,-0.23442397,-0.2348164
-1.6,-0.10744145,-0.12704145,-0.14205554,-0.16138159,-0.18079022,-0.20455768,-0.22038526,-0.22631496,-0.229493,-0.23148861,-0.23271085,-0.233526,-0.23405523,-0.23441723
-1.4,-0.11313421,-0.13370007,-0.15179549,-0.1719178,-0.19218732,-0.21305882,-0.2221646,-0.22703941,-0.2296417,-0.23139394,-0.23245878,-0.23318497,-0.23367846,-0.23393396
-1.2,-0.12049136,-0.14127367,-0.16300764,-0.18448549,-0.20399412,-0.21753759,-0.22335505,-0.22744886,-0.22974132,-0.23122441,-0.23215592,-0.23279857,-0.23321394,-0.2334777
-1,-0.12897276,-0.15179361,-0.1717725,-0.19426303,-0.20974018,-0.21912399,-0.22389204,-0.22741885,-0.22959671,-0.23093816,-0.23180458,-0.23233532,-0.23270608,-0.23291698
-0.8,-0.13634171,-0.16078489,-0.18247976,-0.2013751,-0.21280428,-0.21948823,-0.22427147,-0.22743326,-0.22939359,-0.23059817,-0.23137861,-0.23187136,-0.23218049,-0.23236427
-0.6,-0.14170052,-0.16673822,-0.18973568,-0.20544095,-0.21415042,-0.21987425,-0.22438713,-0.22731161,-0.22910764,-0.23020061,-0.23088533,-0.2312938,-0.23157238,-0.23170152
-0.4,-0.14861842,-0.17583175,-0.1949903,-0.20736104,-0.21411406,-0.22013297,-0.2243293,-0.22707066,-0.22872108,-0.22976975,-0.23033667,-0.23069451,-0.23086335,-0.23101951
-0.2,-0.15467511,-0.18107351,-0.19905561,-0.20836524,-0.2147877,-0.22033076,-0.2242217,-0.22673759,-0.22827983,-0.22923881,-0.22977739,-0.2300346,-0.23026579,-0.23030887
0,-0.16230581,-0.18599215,-0.20075011,-0.20884675,-0.21508655,-0.22037172,-0.22401558,-0.22636975,-0.22778197,-0.22868961,-0.22912383,-0.22939284,-0.22950735,-0.22958733
0.2,-0.16808222,-0.19033861,-0.2022728,-0.2095275,-0.21535561,-0.22032102,-0.22375355,-0.22590825,-0.22722567,-0.22807555,-0.22847464,-0.22869141,-0.22879366,-0.22887694
0.4,-0.17352007,-0.19230774,-0.20307693,-0.20993816,-0.21557344,-0.22023511,-0.22340397,-0.22541925,-0.22664003,-0.22740733,-0.22778319,-0.22797852,-0.22808581,-0.2280555
0.6,-0.17761995,-0.19445213,-0.20374937,-0.21020183,-0.21564051,-0.22010244,-0.22302353,-0.22491161,-0.22605264,-0.22671711,-0.22703697,-0.22721169,-0.2272555,-0.22736528
0.8,-0.18093393,-0.19515005,-0.20405691,-0.2103559,-0.21568571,-0.21990917,-0.22262781,-0.2243725,-0.22538258,-0.22600306,-0.22631497,-0.22642219,-0.22656173,-0.22658353
1,-0.1827218,-0.19583467,-0.20426476,-0.21028172,-0.21557746,-0.21966425,-0.22220733,-0.22379878,-0.22470856,-0.22527586,-0.22556394,-0.22568282,-0.22577364,-0.22575018
