alpha,28753,43129,57505,71882,86258,100634,115011,129387,143763,158140,172516,186892,201269,215645
-10,-0.5225,-0.5071,-0.5139,-0.505,-0.5051,-0.5083,-0.5048,-0.5047,-0.5026,-0.5043,-0.5052,-0.5056,-0.5058,-0.506
-9.8,-0.52077878,-0.50256707,-0.50934897,-0.50059621,-0.50060282,-0.50279253,-0.49981114,-0.49979755,-0.49823574,-0.49927282,-0.50050673,-0.50090184,-0.50110269,-0.50130355
-9.6,-0.51631536,-0.4979073,-0.50515073,-0.4961224,-0.4961224,-0.49745741,-0.49491518,-0.49481236,-0.49400931,-0.49410391,-0.49582399,-0.49621126,-0.49642081,-0.49663036
-9.4,-0.50814282,-0.4924255,-0.50012654,-0.491708,-0.49168352,-0.492475,-0.48998931,-0.48982995,-0.4895951,-0.48907274,-0.49105859,-0.49152097,-0.49177666,-0.49203235
-9.2,-0.50406721,-0.48776979,-0.49448654,-0.48730555,-0.48722758,-0.48775087,-0.4850778,-0.48488711,-0.48500659,-0.48421229,-0.48628123,-0.48686491,-0.48710702,-0.48734913
-9,-0.50036744,-0.48329124,-0.48863828,-0.48296883,-0.48286736,-0.48319962,-0.48021175,-0.47998449,-0.48020583,-0.4795389,-0.48145446,-0.48219657,-0.48248825,-0.48277992
-8.8,-0.49593493,-0.478903,-0.48092549,-0.47864483,-0.47854647,-0.47874761,-0.47546393,-0.47515528,-0.47535549,-0.47499429,-0.47656013,-0.47757486,-0.4778796,-0.47818433
-8.6,-0.49302491,-0.47502171,-0.47589571,-0.47435817,-0.47426589,-0.47445544,-0.47084255,-0.47044989,-0.47057862,-0.47053825,-0.47162357,-0.47297584,-0.473329,-0.47368803
-8.4,-0.48740983,-0.4714711,-0.47115847,-0.47055424,-0.47009016,-0.47030142,-0.4664834,-0.46602024,-0.46594015,-0.46621584,-0.46677498,-0.46842051,-0.46880991,-0.4692037
-8.2,-0.4796133,-0.4678687,-0.46688901,-0.46679428,-0.46634363,-0.46646806,-0.46241859,-0.4618946,-0.46170891,-0.46206757,-0.46224041,-0.46394952,-0.46438608,-0.46481986
-8,-0.4743486,-0.46435603,-0.4633868,-0.46319743,-0.46289808,-0.46315569,-0.4586465,-0.45810379,-0.45783546,-0.45816337,-0.45825558,-0.45984113,-0.46026899,-0.46068869
-7.8,-0.46923247,-0.46129216,-0.4606231,-0.45995125,-0.45955325,-0.46046416,-0.45501197,-0.45453666,-0.45428649,-0.45455444,-0.45478317,-0.45622273,-0.4567458,-0.45725729
-7.6,-0.46419249,-0.45677795,-0.45655547,-0.45720604,-0.45645729,-0.45677002,-0.45138739,-0.45109006,-0.45095996,-0.45121654,-0.45170092,-0.4529929,-0.45374323,-0.45443322
